"id","object","class","dim","columns","bytes","sha256","source","eh_id","zenodo_doi"
"references","blood gse35069 complete","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"references","combined cord blood","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"references","cord blood gse68456","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"references","gervin and lyle cord blood","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"references","guintivano dlpfc","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"references","saliva gse48472","list","7","",17055705,"9021935aa3fb1b318b8cb5b94434d098dbea6c0c4e5c1c8e8a1471356b70df28","git:isglobal-brge/methylclock@main:data/","EH6083",NA
"TestDataset","TestDataset","data.frame","27236x4","CpGName|Sample1|Sample2|Sample3",784212,"d45de6fb0fa6a281cb720c99a7a3aea70dd3b056740f35e2f9c3b54cb0b85317","git:isglobal-brge/methylclock@main:data/","EH6082",NA
"coefVidalBralo","coefVidalBralo","data.frame","9x2","CpGmarker|CoefficientTraining",303,"5a4125e0ba95d0eabadb7b612542cf8a1070ac3f3227e65bda33eaaa5387cf69","Vidal-Bralo 2016 Front Genet 7:126 Table 2 (CC-BY)","EH10466","10.5281/zenodo.21840402"
"coefEpiTOC1","coefEpiTOC1","data.frame","385x1","CpGmarker",2000,"55f1c27a4dced76f428df023e98796138d05f42f476f2188dea1cefec4bf8a1d","EpiMitClocks (github.com/aet21/EpiMitClocks); CpG list CC-BY","EH10467","10.5281/zenodo.21840402"
"coefHypoClock","coefHypoClock","data.frame","678x1","CpGmarker",3611,"c655ffe6d9ac13d39ce889dda02f0234e5a99c21627d99adcb4c513a7130e02e","EpiMitClocks (github.com/aet21/EpiMitClocks); CpG list CC-BY","EH10468","10.5281/zenodo.21840402"
